establishment_status,inspection_date,severity,inspection_year
Pass,2023-02-16,C - Crucial,2023
Pass,2023-02-21,,2023
Pass,2023-07-31,M - Minor,2023
Pass,2023-07-31,S - Significant,2023
Pass,2023-07-31,S - Significant,2023
Pass,2023-12-04,M - Minor,2023
Pass,2023-12-04,M - Minor,2023
Pass,2022-06-13,S - Significant,2022
Pass,2022-06-13,S - Significant,2022
Pass,2022-06-13,S - Significant,2022
Pass,2022-06-13,M - Minor,2022
Pass,2022-06-13,M - Minor,2022
Pass,2022-06-13,M - Minor,2022
Pass,2022-06-13,M - Minor,2022
Pass,2023-04-03,M - Minor,2023
Pass,2023-04-03,M - Minor,2023
Pass,2023-04-03,M - Minor,2023
Pass,2023-07-01,M - Minor,2023
Pass,2023-07-01,M - Minor,2023
Pass,2023-07-01,M - Minor,2023
Pass,2023-12-01,M - Minor,2023
Pass,2023-12-01,M - Minor,2023
Pass,2022-07-04,,2022
Pass,2023-04-17,M - Minor,2023
Pass,2023-08-01,M - Minor,2023
Pass,2022-06-15,M - Minor,2022
Pass,2022-12-29,,2022
Pass,2023-05-12,,2023
Pass,2023-12-27,,2023
Pass,2022-08-08,M - Minor,2022
Pass,2023-01-17,M - Minor,2023
Pass,2023-07-07,,2023
Pass,2024-01-16,NA - Not Applicable,2024
Pass,2022-06-28,,2022
Pass,2023-01-09,M - Minor,2023
Pass,2023-07-05,M - Minor,2023
Pass,2022-05-26,M - Minor,2022
Pass,2022-05-26,M - Minor,2022
Pass,2022-10-27,M - Minor,2022
Pass,2022-10-27,M - Minor,2022
Pass,2022-10-27,M - Minor,2022
Pass,2023-03-07,,2023
Pass,2023-08-30,S - Significant,2023
Pass,2023-08-30,S - Significant,2023
Pass,2023-08-30,M - Minor,2023
Pass,2023-08-30,NA - Not Applicable,2023
Pass,2023-08-30,S - Significant,2023
Pass,2023-09-01,,2023
Pass,2022-04-25,,2022
Pass,2022-08-02,,2022
Pass,2023-01-27,,2023
Pass,2023-08-28,S - Significant,2023
Pass,2023-08-28,S - Significant,2023
Pass,2023-08-28,M - Minor,2023
Pass,2023-08-28,S - Significant,2023
Pass,2023-08-28,NA - Not Applicable,2023
Pass,2023-11-09,,2023
Pass,2022-05-05,M - Minor,2022
Pass,2023-03-15,NA - Not Applicable,2023
Pass,2023-08-24,S - Significant,2023
Pass,2023-08-24,S - Significant,2023
Pass,2023-08-24,M - Minor,2023
Pass,2023-08-24,S - Significant,2023
Pass,2023-08-24,M - Minor,2023
Pass,2023-08-24,M - Minor,2023
Pass,2023-08-24,M - Minor,2023
Pass,2023-08-24,S - Significant,2023
Pass,2023-08-24,S - Significant,2023
Pass,2023-08-28,,2023
Pass,2022-06-27,M - Minor,2022
Pass,2022-06-27,M - Minor,2022
Pass,2022-08-29,M - Minor,2022
Pass,2023-03-20,M - Minor,2023
Pass,2023-11-27,NA - Not Applicable,2023
Pass,2023-11-27,M - Minor,2023
Pass,2022-06-02,,2022
Pass,2023-02-24,,2023
Pass,2023-08-03,,2023
Pass,2022-08-11,,2022
Pass,2023-04-14,,2023
Pass,2023-11-13,,2023
Pass,2023-04-13,,2023
Pass,2022-06-09,,2022
Pass,2023-04-25,S - Significant,2023
Pass,2023-04-25,S - Significant,2023
Pass,2023-04-25,M - Minor,2023
Pass,2023-04-25,S - Significant,2023
Pass,2023-04-28,,2023
Pass,2023-09-28,M - Minor,2023
Pass,2023-09-28,S - Significant,2023
Pass,2023-09-28,C - Crucial,2023
Pass,2023-09-28,S - Significant,2023
Pass,2023-09-28,NA - Not Applicable,2023
Pass,2023-10-06,,2023
Pass,2022-10-20,S - Significant,2022
Pass,2022-10-26,,2022
Pass,2023-06-19,,2023
Pass,2024-01-03,,2024
Pass,2023-02-27,M - Minor,2023
Pass,2023-05-08,,2023
Pass,2023-10-16,S - Significant,2023
Pass,2023-10-16,S - Significant,2023
Pass,2023-10-16,S - Significant,2023
Pass,2023-10-17,,2023
Pass,2022-04-11,M - Minor,2022
Pass,2022-04-11,M - Minor,2022
Pass,2022-04-11,S - Significant,2022
Pass,2022-04-11,S - Significant,2022
Pass,2022-04-11,M - Minor,2022
Pass,2022-04-11,S - Significant,2022
Pass,2022-04-14,,2022
Pass,2023-01-23,,2023
Pass,2023-05-11,,2023
Pass,2023-09-29,M - Minor,2023
Pass,2023-09-29,M - Minor,2023
Pass,2024-01-18,S - Significant,2024
Pass,2024-01-18,M - Minor,2024
Pass,2024-01-18,M - Minor,2024
Pass,2024-01-18,M - Minor,2024
Pass,2024-01-18,M - Minor,2024
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2022-08-15,M - Minor,2022
Pass,2023-10-10,,2023
Pass,2023-07-20,,2023
Pass,2023-07-20,,2023
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,M - Minor,2023
Pass,2022-06-16,M - Minor,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2022-09-30,C - Crucial,2022
Pass,2022-09-30,S - Significant,2022
Pass,2022-10-07,,2022
Pass,2023-05-10,NA - Not Applicable,2023
Pass,2023-05-10,S - Significant,2023
Pass,NA,,NA
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,M - Minor,2023
Pass,2023-07-20,M - Minor,2023
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2023-04-26,,2023
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2022-01-26,,2022
Pass,2022-12-20,M - Minor,2022
Pass,2022-12-20,M - Minor,2022
Pass,2023-04-18,NA - Not Applicable,2023
Pass,2023-04-18,M - Minor,2023
Pass,2023-08-21,NA - Not Applicable,2023
Pass,2023-08-21,M - Minor,2023
Pass,2023-10-18,M - Minor,2023
Pass,2024-01-16,M - Minor,2024
Pass,2022-05-02,,2022
Pass,2023-03-14,,2023
Pass,2023-08-25,M - Minor,2023
Pass,2023-08-25,NA - Not Applicable,2023
Pass,2023-08-25,M - Minor,2023
Pass,2023-08-25,M - Minor,2023
Pass,2023-08-25,S - Significant,2023
Pass,2024-01-22,M - Minor,2024
Pass,2024-01-22,NA - Not Applicable,2024
Pass,2022-08-16,M - Minor,2022
Pass,2023-01-24,,2023
Pass,2023-07-17,M - Minor,2023
Pass,2022-08-10,M - Minor,2022
Pass,2023-01-20,M - Minor,2023
Pass,2023-01-20,M - Minor,2023
Pass,2023-07-04,M - Minor,2023
Pass,2023-07-04,M - Minor,2023
Pass,2022-06-29,M - Minor,2022
Pass,2023-02-21,,2023
Pass,2023-10-27,S - Significant,2023
Pass,2023-10-27,M - Minor,2023
Pass,2022-05-20,M - Minor,2022
Pass,2022-05-20,S - Significant,2022
Pass,2022-05-20,S - Significant,2022
Pass,2022-05-20,S - Significant,2022
Pass,2022-05-26,,2022
Pass,2022-11-22,S - Significant,2022
Pass,2022-11-22,S - Significant,2022
Pass,2022-11-22,S - Significant,2022
Pass,2022-11-22,M - Minor,2022
Pass,2023-04-13,M - Minor,2023
Pass,2023-07-12,,2023
Pass,2023-07-26,S - Significant,2023
Pass,2022-06-16,,2022
Pass,2023-04-26,S - Significant,2023
Pass,2023-07-20,,2023
Pass,2022-06-23,M - Minor,2022
