establishment_status,inspection_date,severity
Pass,2022-06-28,
Pass,2023-01-09,M - Minor
Pass,2023-07-05,M - Minor
Pass,2022-05-26,M - Minor
Pass,2022-05-26,M - Minor
Pass,2022-10-27,M - Minor
Pass,2022-10-27,M - Minor
Pass,2022-10-27,M - Minor
Pass,2023-03-07,
Pass,2023-08-30,M - Minor
Pass,2023-08-30,NA - Not Applicable
Pass,2023-08-30,S - Significant
Pass,2023-08-30,S - Significant
Pass,2023-08-30,S - Significant
Pass,2023-09-01,
Pass,2022-04-25,
Pass,2022-08-02,
Pass,2023-01-27,
Pass,2023-08-28,S - Significant
Pass,2023-08-28,S - Significant
Pass,2023-08-28,M - Minor
Pass,2023-08-28,S - Significant
Pass,2023-08-28,NA - Not Applicable
Pass,2023-11-09,
Pass,2022-05-05,M - Minor
Pass,2023-03-15,NA - Not Applicable
Pass,2023-08-24,S - Significant
Pass,2023-08-24,M - Minor
Pass,2023-08-24,M - Minor
Pass,2023-08-24,S - Significant
Pass,2023-08-24,M - Minor
Pass,2023-08-24,S - Significant
Pass,2023-08-24,M - Minor
Pass,2023-08-24,S - Significant
Pass,2023-08-24,S - Significant
Pass,2023-08-28,
Pass,2022-06-27,M - Minor
Pass,2022-06-27,M - Minor
Pass,2022-08-29,M - Minor
Pass,2023-03-20,M - Minor
Pass,2023-11-27,NA - Not Applicable
Pass,2023-11-27,M - Minor
Pass,2022-06-02,
Pass,2023-02-24,
Pass,2023-08-03,
Pass,2022-08-11,
Pass,2023-04-14,
Pass,2023-11-13,
Pass,2023-04-13,
Pass,2022-06-09,
Pass,2023-04-25,M - Minor
Pass,2023-04-25,S - Significant
Pass,2023-04-25,S - Significant
Pass,2023-04-25,S - Significant
Pass,2023-04-28,
Pass,2023-09-28,M - Minor
Pass,2023-09-28,S - Significant
Pass,2023-09-28,NA - Not Applicable
Pass,2023-09-28,C - Crucial
Pass,2023-09-28,S - Significant
Pass,2023-10-06,
Pass,2022-10-20,S - Significant
Pass,2022-10-26,
Pass,2023-06-19,
Pass,2024-01-03,
Pass,2023-02-27,M - Minor
Pass,2023-05-08,
Pass,2023-10-16,S - Significant
Pass,2023-10-16,S - Significant
Pass,2023-10-16,S - Significant
Pass,2023-10-17,
Pass,2022-04-11,M - Minor
Pass,2022-04-11,M - Minor
Pass,2022-04-11,M - Minor
Pass,2022-04-11,S - Significant
Pass,2022-04-11,S - Significant
Pass,2022-04-11,S - Significant
Pass,2022-04-14,
Pass,2023-01-23,
Pass,2023-05-11,
Pass,2023-09-29,M - Minor
Pass,2023-09-29,M - Minor
Pass,2024-01-18,M - Minor
Pass,2024-01-18,M - Minor
Pass,2024-01-18,S - Significant
Pass,2024-01-18,M - Minor
Pass,2024-01-18,M - Minor
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2022-08-15,M - Minor
Pass,2023-10-10,
Pass,2023-07-20,
Pass,2023-07-20,
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-20,M - Minor
Pass,2022-06-16,M - Minor
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2022-09-30,S - Significant
Pass,2022-09-30,C - Crucial
Pass,2022-10-07,
Pass,2023-05-10,NA - Not Applicable
Pass,2023-05-10,S - Significant
Pass,NA,
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-20,M - Minor
Pass,2023-07-20,M - Minor
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-20,
